Document_Num,Dominant_Topic,Topic_%_Contrib,Topic_Keywords,Text,Is_Outlier,Dom_Topics_Num,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_0_Perc,Topic_1_Perc,Topic_2_Perc,Topic_3_Perc,Topic_4_Perc,Topic_5_Perc
0,4,0.99,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",transferred different department purportedly punishment providing information auditors respondents audit made work extra hours wages commensurate work load,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.99,0.0
1,4,0.97,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",unjustifiably dismissed workers deceiving resigning promise rehired pay dismissed workers full amount compensation early termination contract breaching mexican federal labour law bribed authorities obtain parcel certificate national agrarian registry ran required mexican law falsified information regarding land ownership order use evidence avoid imposition non conformities audits andthe crude stored tanks receive maintenance therefore mexican legislation regulating matter complied,False,1,0,0,0,0,1,0,0.01,0.0,0.01,0.0,0.97,0.01
2,0,0.93,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",1 owns operates plantations conflicted contested rural lands montes de maria 2 diminished legal customary user rights region montes de mara fpic local communities 3 failed fulfil commitments ensure transparency providing necessary information interested parties 4 failed fulfil commitments use peaceful dispute resolution mechanisms instigate violence protect human rights defenders prevent reprisals 5 conducted non compliant land clearing resulted damage high conservation value hcv areas freshwater ecosystems region,False,1,1,0,0,0,0,0,0.93,0.0,0.01,0.01,0.01,0.04
3,2,0.77,"eof, forest, mill, plantation, illegal, gar, plantations, bukit, ffb, supplier",corporate social responsibility csr program concrete sustainable surrounding conducted replanting cutting trees plantation resulting emergence insect pests damaging coconut plantation provided pesticides twice take responsibility coconut plantation damage andthe pesticide proposal village head urgently responded caused surrounding suffer great losses,False,1,0,0,1,0,0,0,0.07,0.01,0.77,0.03,0.03,0.1
4,5,0.81,"hcv, land, area, forest, npp, new, local, rspos, 2013, conservation",breached obligations ignoring high conservation values hcvs identified new planting procedure npp 2013 clearing land protected area plant crops situation affected forest conservation area protected according costa rican law deforested area deforestation took place abandoned damage remedied andthe said act deforestation violates sustainability principles significant negative impact local biodiversity communities depend ecosystem,False,1,0,0,0,0,0,1,0.1,0.01,0.04,0.02,0.01,0.81
5,4,0.92,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",1 informed prior termination expectation wages entitled would included final payment compensation calculation agreed 2 final payment compensation phrased written mutual agreement dated october 2023 paid accordance wages paid employment,False,1,0,0,0,0,1,0,0.04,0.0,0.02,0.01,0.92,0.02
6,0,0.8,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",conducted land clearing planting construction concession boundary road beyond boundaries set plantation business license izin usaha perkebunan iup right cultivate land title hak guna usaha hgu,False,1,1,0,0,0,0,0,0.8,0.01,0.03,0.02,0.03,0.11
7,2,0.66,"eof, forest, mill, plantation, illegal, gar, plantations, bukit, ffb, supplier",acquired ffb using restrictive competition practices affects smallholders omitted antitrust guidelines,False,1,0,0,1,0,0,0,0.07,0.04,0.66,0.09,0.04,0.11
8,0,0.4,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",affecting compliance act corporate due diligence obligations prevention human rights violations supply chains lksg abused human rights indigenous population carrying unlawful seizure land restricting access water complied labour law unjustifiably withholding appropriate wages occupational health safety regulations respected improper disposal waste made affecting environment area lives,False,2,1,0,0,0,1,0,0.4,0.02,0.08,0.03,0.39,0.09
9,4,0.98,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",allegations raised pertaining variety workers rights violations poor working conditions non provisions subsidy non payment social security bpjs poor safety conditions workers health unreasonable working hours amongst others several workers arrested police protesting pertaining rights,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.98,0.0
10,0,0.97,"land, communities, rights, local, allegations, principle, village, process, growers, plantation",infringed private property firebreak destroyed part forest plot land situation affected place complainants cattle located comply conciliation agreement signed parties,False,1,1,0,0,0,0,0,0.97,0.0,0.01,0.0,0.01,0.01
