pk,source,internal_id,status,submitted_on,accepted_on,last_updated_on,country,region,complainants,respondents,respondent_sector,respondent_parent_company,respondent_supplier,summary,history,external_link,extras
431,Cargill,DSP-1,Closed - With Monitoring,2020-07,,2022-03,Honduras,,,Aceydesa,,,,"In July 2020, Cargill received a grievance against Aceydesa alleging deforestation, unjustified increase of RSPO certified volume, land conflict, non-compliance with labor legislation, lack of PPE, and environmental legislation violations. Cargill conducted a desktop investigation followed by a field evaluation in January 2021. They developed an action plan with the supplier and continue monthly follow-ups to ensure proper closure of identified issues.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
432,Cargill,DSP-2,In Progress - Investigation,2022-02,,2024-01,Brazil,,,Agropalma,,,,"A grievance was filed against Agropalma regarding human rights issues involving Quilombola communities near the Acará River in Brazil. The case involves land rights conflicts with indigenous communities, which led to the temporary suspension of Agropalma's RSPO certification in February 2023 and again in January 2024. There was also an incident of unauthorized occupation of Agropalma's plantation in November 2023, followed by the discovery of a body in the area which is under investigation by Federal Police.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
433,Cargill,DSP-3,Closed - With Monitoring,2022-04,,2024-09,Indonesia,Sulawesi,Friends of the Earth (FoE); WALHI,Astra Agro Lestari,,,,"This grievance was filed by Friends of the Earth and WALHI against Astra Agro Lestari (AAL) in Indonesia, alleging land conflicts related to their palm oil operations. The case involves disputed land rights where AAL claims they obtained proper Rights To Cultivate (HGU) in 1997, while communities contest these claims. AAL has commissioned independent investigations, developed a Human Rights Due Diligence strategy, and published an action plan, though some stakeholders like FoE have rejected their verification report.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
434,Cargill,DSP-4,In Progress,2019-06,,2022-11,Brazil,,Rio On Watch,Brasil Bio Fuels,,,,"A grievance was filed against Brasil Bio Fuels (formerly Biopalma) in June 2019 regarding labor and human rights issues in Brazil. The case began with allegations about a ferry accident involving palm oil residues. After investigation, Cargill identified gaps in labor compliance and grievance management. Despite implementing an action plan, Cargill suspended Brasil BioFuels from its palm supply chain in October 2022 due to increasing tensions and allegations of violence surrounding their operations.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
435,Cargill,DSP-5,In Progress - Investigation,5/8/2019,,2021-04,Indonesia,West Kalimantan,Link-Ar Borneo,Cargill Tropical Palm,,,,"A grievance was filed by Link-Ar Borneo against Cargill's subsidiary PT Poliplant Sejahtera (PSA) in West Kalimantan, Indonesia. The grievance alleges that PSA did not fully compensate Farmer 'LK' for his plot inside the estate according to agreed conditions of ownership transfer since 2009. PSA maintains they have documented evidence including notarized acceptance of transfer that refutes these allegations.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
436,Cargill,DSP-6,In Progress - Investigation,1/22/2018,,2023-01,Malaysia,,AidEnvironment,Felda Global Ventures,,,,"A grievance was filed against Felda Global Ventures (FGV) on January 22, 2018, by AidEnvironment, alleging deforestation of High Carbon Stock (HCS) forest in Asian Plantations Limited's Grand Performance concession in Indonesia/Malaysia. FGV committed to a stop-work order and agreed to conduct an independent assessment to identify HCS areas. Subsequently, FGV adopted the High Carbon Stock Approach (HCSA) as part of updates to their sustainability policy.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
437,Cargill,DSP-7,In Progress - Investigation,11/24/2023,,2024-03,Indonesia,,The Gecko Project; Greenpeace,First Resources,,,,"The grievance involves allegations that First Resources has operational and financial ownership connections to three palm-oil companies: FAP Agri, Ciliandra Anky Abadi (CAA), and Sulaidy Group. The complaint was raised by The Gecko Project in November 2023, with similar allegations previously raised by Greenpeace. First Resources denies these connections and has appointed Robertsbridge as an independent consultant to review the evidence and engage with stakeholders while the RSPO Complaints Panel conducts an investigation.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
438,Cargill,DSP-8,In Progress - Investigation,2020-03,,2020-04,Indonesia,Central Kalimantan,,Golden Agri-Resources,,,,An RSPO complaint has been filed by FPP against Golden Agri-Resources (GAR) regarding concerns about the legality of operations and a bribery court case from 2018 in Central Kalimantan. GAR has refuted the allegations and submitted an appeal letter to the RSPO Complaints Panel. Cargill is aware of the situation and is monitoring the case as GAR is their direct supplier.,,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
439,Cargill,DSP-9,In Progress,12/14/2015,,2023-11,Guatemala,,,Grupo Hame,,,,"A grievance was filed against Grupo Hame in Guatemala on December 14, 2015, involving accusations of human rights violations and environmental degradation. Cargill has taken several actions in response, including changing contract terms with the supplier, requiring monitoring and implementation of an action plan, and working with REPSA (part of Grupo Hame) to address various issues including community engagement, labor practices, and resolution of past incidents. Regular monitoring of implementation plans continues.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
440,Cargill,DSP-10,Closed,9/11/2018,,3/11/2019,Guatemala,,National Council of Displaced Guatemalans (CONDEG),Industrias Chiqibul,,,,"CONDEG filed a grievance report accusing Industrias Chiqibul of labor rights violations in Guatemala. Cargill requested clarifications from Chiqibul and followed up for evidence and verification. After attempting to work with Chiqibul to identify third parties for verification and develop an action plan, Cargill ultimately suspended business with the Guatemalan palm oil supplier effective March 1, 2019.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
441,Cargill,DSP-11,In Progress,2018-07,,2021-07,Malaysia,,Roundtable on Sustainable Palm Oil (RSPO),IOI Group,,,,"The grievance concerns a community land conflict at IOI Pelita in Malaysia, filed through the RSPO Complaints System in July 2018. IOI Group is engaged in resolving the issue through an implementation plan agreed upon with the community. The resolution plan has been accepted by all 9 communities involved, and Cargill is monitoring progress through IOI's grievance updates and the RSPO Complaints tracker.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
442,Cargill,DSP-12,Closed,2023-02,,2023-07,Indonesia,Jambi,,Kurnia Tunggal Nugraha,,,,"A grievance was filed in February 2023 based on a report from Cash Investigations alleging child labor practices at PT Erasakti Wiraforestama plantations in Jambi. The National Labour Agency conducted an inspection in November 2022 and verified that the company prohibits employing anyone under 18 years old, provides proper safety equipment, and has appropriate recruitment procedures. The case was closed in July 2023 following review by Jambi's National Labour Agency.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
443,Cargill,DSP-13,Closed,2020-09,,2022-10,Malaysia,Terengganu,,Ladang Rakyat Trengganu,,,,"Cargill identified land clearing in an HCV area during a visit to Ladang Rakyat Trengganu's concession in September 2020. In response, Ladang Rakyat Trengganu issued a Stop Work Order and developed a remediation plan for the 4.34ha cleared area, which included uprooting replanted seedlings, planting forest trees, and setting boundaries to protect HCV areas. Cargill continues to monitor the implementation of the remediation plan and has conducted follow-up visits in 2022.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
444,Cargill,DSP-14,Closed,2021-12,,2022-01,Indonesia,,Mighty Earth,Musim Mas,,,,"This grievance was filed by Mighty Earth against Musim Mas in December 2021, alleging environmental non-compliance related to clearing of a High Carbon Stock (HCS) area. Upon investigation, Cargill found that Musim Mas had conducted proper HCV and HCS assessments in 2018, which determined the area in question was neither HCV nor HCS. EQ's assessment confirmed this finding, noting the area displayed qualities consistent with scrub forest outside the HCS threshold.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
445,Cargill,DSP-15,In Progress,2024-01,,2024-07,Guatemala,,Christian Initiative Romero; Foodwatch; European Council for Constitutional and Human Rights,Naturaceites,,,,"The grievance involves alleged land conflicts against Naturaceites, reported by Christian Initiative Romero, Foodwatch, and European Council for Constitutional and Human Rights in January 2024. Cargill is supporting Naturaceites in collaborating with the Earthworm Foundation to enhance their grievance mechanism and implement an action plan to address community conflicts, land issues, and environmental impacts. The plan includes three phases focusing on understanding the situation, establishing communication channels, and implementing actions to mitigate future conflicts.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
446,Cargill,DSP-16,In Progress,2021-03,,2022-03,Colombia,Los Llanos,,Palmeras Del Llano,,,,"Cargill identified environmental non-compliances in Palmeras Del Llano's mill operations during a 2019 evaluation visit. Due to slow progress, the case was moved to Cargill's grievance system. The mill has since committed resources to address the issues and has made progress on resolving environmental non-compliances, including adjustments to the effluents system.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
447,Cargill,DSP-17,In Progress - Investigation,6/12/2020,,2020-11,Indonesia,Aceh,,Permata Hijau Group,,,,"A grievance was filed on June 12, 2020, against Permata Hijau Group for non-compliant sourcing from PT Kallista Alam. The grievance was reported by Rainforest Action Network. Prior to the report, Cargill and Permata had already aligned on prioritizing engagement with Permata's Aceh suppliers. The case is currently under monitoring implementation.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
448,Cargill,DSP-18,Closed,2021-05,,2021-05,Malaysia,Selangor State,,Prosper Group,,,,"This grievance involves deforestation allegations against Bewani Oil Palms in PNG, which was allegedly associated with the Prosper Group in Malaysia. Cargill initially suspended their commercial relationship with Prosper Group due to these links and the extensive deforestation. However, Cargill later resumed business after Prosper committed to adopting an NDPE sustainable Palm Oil Policy, initiating a recovery plan for the North Selangor Peat Swamp Forest, and making a time-bound remediation plan to compensate for past deforestation.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
449,Cargill,DSP-19,In Progress - Investigation,8/26/2019,,2020-05,Malaysia,Sarawak,,Sarawak Oil Palms,,,,"A customer reported potential deforestation in Sarawak Oil Palms' (SOP) Sabajau estate. Cargill immediately investigated with SOP, who denied involvement and provided documentation showing the last clearing was in October 2016. SOP believes clearing was carried out by a native community. Cargill has requested further field verification.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
450,Cargill,DSP-20,Closed,2020-07,,2023-02,Malaysia,,Liberty Shared,Sime Darby,,,,"Liberty Shared submitted a petition against Sime Darby Plantation Berhad alleging forced labor and child labor in their Malaysia operations. The case escalated when the US Customs and Border Protection issued a Withhold Release Order against Sime Darby's palm oil products. After Sime Darby implemented governance changes and external assessments, the CBP eventually lifted restrictions, leading Cargill to resume business with Sime Darby in February 2023.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
451,Cargill,DSP-21,In Progress - Investigation,10/5/2020,,2021-03,Indonesia,,,SIPEF,,,,"A grievance was filed against SIPEF on October 5, 2020, regarding labor rights violations in Indonesia. The allegations were originally raised in 2017 by 11.11.11 and Sawit Watch, and later highlighted by Transnational Palm Oil Labour Solidarity (TPOLS) in an article. SIPEF has engaged with the parties involved and plans to hire a third party to investigate the allegations and provide recommendations.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
452,Cargill,DSP-22,Closed,2/8/2017,,2020-12,Indonesia,West Sumatra,Roundtable on Sustainable Palm Oil (RSPO),Wilmar,,,,This grievance involves a community land conflict between Wilmar (specifically PT Permata Hijau Pasaman) and local communities. The case was filed as an RSPO Complaint and went through the RSPO complaints system. Cargill engaged with Wilmar to monitor progress on the agreed action plan. The grievance was eventually closed by the RSPO Complaints Panel in September 2018.,,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
453,Cargill,ISP-1,In Progress - Investigation,2020-08,,2020-10,Malaysia,Pahang,,Amanah Saham Pahang,,,,"A grievance was filed in August 2020 by Mighty Earth against Amanah Saham Pahang for alleged deforestation. The complaint suggests that mills in Cargill's supply chain are sourcing Fresh Fruit Bunches (FFB) from Amanah Saham Pahang plantations. Cargill is investigating these allegations, and Amanah Saham Pahang has since established an NDPE Policy and committed to a moratorium on new planting.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
454,Cargill,ISP-2,In Progress,2018-05,,2020-05,Indonesia,,Mighty Earth,Anglo Eastern Plantations,,,,"Anglo Eastern Plantations faced a grievance for deforestation reported by Mighty Earth in May 2018. Cargill engaged with their direct suppliers and AEP committed to a moratorium at PT Kahayan Agro Plantation pending assessments. Despite some incidents of land clearing due to GPS error and local gold mining activities, AEP issued a stop work order and published an NDPE policy. The case is currently implementing an action plan with ongoing monitoring.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
455,Cargill,ISP-3,Closed,2019-03,,3/25/2019,Indonesia,Sumatra,Mighty Earth,Asam Jawa/Musirawas,,,,"Mighty Earth raised a grievance against Asam Jawa/Musirawas for deforestation in March 2019. Cargill was impacted through its sourcing with PHG and engaged them on this grievance. The supplier was subsequently suspended by direct suppliers and is no longer in Cargill's supply chain, with Cargill adopting a no-buy position on the company.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
456,Cargill,ISP-4,Closed,9/9/2016,,2022-04,Indonesia,,,Austindo Nusantara Jaya,,,,"This grievance involves deforestation allegations against Austindo Nusantara Jaya (ANJ). Cargill initially suspended ANJ from its supply chain in October 2016 after the report. Following remediation efforts by ANJ, including implementing a moratorium on new clearing, developing NDPE procedures, and demonstrating progress through monitoring and reporting, Cargill lifted the suspension in February 2022.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
457,Cargill,ISP-5,In Progress - Investigation,2020-08,,2020-08,Indonesia,,,Beurata Subur Persada,,,,A grievance was filed against Beurata Subur Persada in August 2020 regarding a community conflict. Cargill is indirectly connected to Beurata Subur Persada and has contacted their direct supplier for more information. GAR has commenced investigations on the community grievance and has been engaging with Beurata Subur Persada and PT DPL on no-deforestation since 2017.,,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
458,Cargill,ISP-6,Closed,2019-07,,2019-09,Indonesia,Aceh,Rainforest Action Network,Bima Golden Powerindo,,,,"A grievance was filed against Bima Golden Powerindo in July 2019 by Rainforest Action Network, alleging deforestation by PT Laot Bangko. While Cargill did not source directly from the concession, they were impacted indirectly through Apical's sourcing from PT MJSL, which is part of the same group. After unsatisfactory engagement with PT MJSL and Bima Golden Powerindo, Apical decided to cease sourcing on September 19, 2019.",,https://www.cargill.com/sustainability/palm-oil/managing-grievances,
