Document_Num,Dominant_Topic,Topic_%_Contrib,Topic_Keywords,Text,Is_Outlier,Dom_Topics_Num,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_0_Perc,Topic_1_Perc,Topic_2_Perc,Topic_3_Perc,Topic_4_Perc,Topic_5_Perc
329,3,0.67,"gar, deforestation, ran, linked, chain, jaya, supply, sawit, plantation, leuser",customer line internal monitoring detected indications 160 ha deforestation inside anugerah niaga sawindo concession jan jul ans owned managed anugerah langkat makmur later detected indications recent deforestation peat clearance another alm groupi e sekar arum setyo abadi,False,1,0,0,0,1,0,0,0.01,0.26,0.03,0.67,0.01,0.01
36,4,0.98,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",prohibits workers conduct union activities protest regards omnibus law b conducted unilateral termination ofemployment 2 two permata hijau sawit workers andc socialize regulations peraturan perusahaan workers damai nusa sekawan,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.98,0.0
125,0,0.99,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",synopsis according enquiry national hak tanah malaysia conducted suhakam state government given 1260 acres land dusun begahak 1981 time land alienated felda development raised issue felda right develop land return land originally belonged stated cemetery area developed felda felda enclaved 916 acres said land gave back 25th may 1982 planted fruits crops land received evidence sides evidence needs scrutinised investigated,False,1,1,0,0,0,0,0,0.99,0.0,0.01,0.0,0.0,0.0
6,0,0.98,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",conducted land clearing planting construction concession boundary road beyond boundaries set plantation business license izin usaha perkebunan iup right cultivate land title hak guna usaha hgu,False,1,1,0,0,0,0,0,0.98,0.0,0.01,0.0,0.0,0.0
65,4,0.94,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",temporary workers contract issues wages overwork,False,1,0,0,0,0,1,0,0.03,0.0,0.01,0.01,0.94,0.01
150,0,0.98,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",synopsis communities sanggau mitra austral sejahtera operating lack transparency land status partnership agreements lack compliance customary land rights absence documented compensation lack compliance local regulations acting breached principles criteria specifically principle 1 transparency principle 2 compliance applicable laws principle 6 responsible consideration employees individuals communities affected growers mills,False,1,1,0,0,0,0,0,0.98,0.0,0.01,0.0,0.0,0.0
83,0,0.82,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",developed nucleus inti estate customary land prior informed consent nagari simpang tigo kota baru land acquisition contested right utilization certificate hak guna usaha “hgu” obtained development said land prior informed consent provided adequate clear information plasma plantation area allocated indigenous luhak saparampek nagari simpang tigo kota baru used intimidation criminalisation indigenous communities luhak separampek nagari kanalin course communities claiming customary rights rights plasma development unilaterally determined representation indigenous communities nagari kinali dialogue include participation communities course conducting hcv assessment effective internal grievance mechanism accessible therefore information regarding way send complaint,False,1,1,0,0,0,0,0,0.82,0.01,0.09,0.02,0.03,0.03
234,5,0.98,"ffb, cpo, park, bukit, national, contaminated, products, eof, tiger, tesso",eof issued alleging number sourced ffb tesso nilo national park bukit tigapuluh national park bukit betabuh tiger corridor,False,1,0,0,0,0,0,1,0.0,0.0,0.01,0.0,0.0,0.98
229,1,0.63,"earth, ha, mighty, rapid, response, concession, deforestation, indications, forest, clearance",gp deforestation case studies final countdown one involved deforestation,False,1,0,1,0,0,0,0,0.01,0.63,0.03,0.31,0.01,0.01
348,4,0.69,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",labour rights violation sime darby plantation berhad’s operation,False,1,0,0,0,0,1,0,0.19,0.02,0.05,0.03,0.69,0.03
127,0,0.9,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",nagari kapa long demanded clarity extent php 1s nucleus estate 7 march 2014 provincial office national land agency bpn west sumatera carried land measurement village involving staffs php 1 nagari representatives leader nagari kapa however raised objection process results said transparent demand proposed solution measurement fully involves representatives customary law nagari kapa process phases including recapitulation process end request accompanied ngo wide experience participatory mapping php1 hgu certificate lands nagari kapa growing palms since 1997 hgu decree sk hgu fully understand php1 needs customary lands development invested large amount money therefore would ask php1 leave lands would ask php 1 terminate operation proposed solutions facilitated wilmar fpp nagari kapak meeting 19november 2014 kuala lumpur parties agreed bring issues bpn head district pasaman barat,False,1,1,0,0,0,0,0,0.9,0.01,0.05,0.01,0.02,0.02
185,2,0.4,"forest, plantation, plantations, eof, mill, illegal, area, gar, investigations, supplier",local media ketapang district police investigating 4 suspected burning clear land including cipta usaha sejati,False,2,0,0,1,1,0,0,0.1,0.09,0.4,0.34,0.02,0.05
276,3,0.57,"gar, deforestation, ran, linked, chain, jaya, supply, sawit, plantation, leuser",may 4 ran published titled exposed elephant habitat leuser ecosystem fresh attack indo alam repeatedly exposed deforestation,False,1,0,0,0,1,0,0,0.04,0.25,0.09,0.57,0.02,0.03
