Document_Num,Dominant_Topic,Topic_%_Contrib,Topic_Keywords,Text,Is_Outlier,Dom_Topics_Num,Topic_0_Perc,Topic_1_Perc,Topic_2_Perc,Topic_3_Perc,Topic_4_Perc,Topic_5_Perc,Topic_0_Indicate,Topic_1_Indicate,Topic_2_Indicate,Topic_3_Indicate,Topic_4_Indicate,Topic_5_Indicate
0,0,0.9885993303988859,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",transferred different department purportedly punishment providing information auditors respondents audit made work extra hours wages commensurate work load,False,6,98.86,0.09,0.46,0.13,0.28,0.17,1,1,1,1,1,1
1,0,0.9966092688146887,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",unjustifiably dismissed workers deceiving resigning promise rehired pay dismissed workers full amount compensation early termination contract breaching mexican federal labour law bribed authorities obtain parcel certificate national agrarian registry ran required mexican law falsified information regarding land ownership order use evidence avoid imposition non conformities audits andthe crude stored tanks receive maintenance therefore mexican legislation regulating matter complied,False,6,99.66,0.03,0.14,0.04,0.09,0.05,1,1,1,1,1,1
2,2,0.735547269824906,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",1 owns operates plantations conflicted contested rural lands montes de maria 2 diminished legal customary user rights region montes de mara fpic local communities 3 failed fulfil commitments ensure transparency providing necessary information interested parties 4 failed fulfil commitments use peaceful dispute resolution mechanisms instigate violence protect human rights defenders prevent reprisals 5 conducted non compliant land clearing resulted damage high conservation value hcv areas freshwater ecosystems region,False,6,2.08,0.98,73.55,1.86,17.01,4.51,1,1,1,1,1,1
3,4,0.6697079455151802,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",corporate social responsibility csr program concrete sustainable surrounding conducted replanting cutting trees plantation resulting emergence insect pests damaging coconut plantation provided pesticides twice take responsibility coconut plantation damage andthe pesticide proposal village head urgently responded caused surrounding suffer great losses,False,6,1.77,1.27,13.45,2.71,66.97,13.83,1,1,1,1,1,1
4,2,0.40832609405385434,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",breached obligations ignoring high conservation values hcvs identified new planting procedure npp 2013 clearing land protected area plant crops situation affected forest conservation area protected according costa rican law deforested area deforestation took place abandoned damage remedied andthe said act deforestation violates sustainability principles significant negative impact local biodiversity communities depend ecosystem,False,6,2.49,1.56,40.83,2.95,39.66,12.51,1,1,1,1,1,1
5,0,0.9495244831723905,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",1 informed prior termination expectation wages entitled would included final payment compensation calculation agreed 2 final payment compensation phrased written mutual agreement dated october 2023 paid accordance wages paid employment,False,6,94.95,0.44,1.91,0.64,1.26,0.8,1,1,1,1,1,1
6,2,0.7961153434754533,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",conducted land clearing planting construction concession boundary road beyond boundaries set plantation business license izin usaha perkebunan iup right cultivate land title hak guna usaha hgu,False,6,1.94,0.88,79.61,1.6,11.92,4.05,1,1,1,1,1,1
7,5,0.3258749414400693,"eof, forest, mill, illegal, gar, plantation, bukit, plantations, ffb, grievance",acquired ffb using restrictive competition practices affects smallholders omitted antitrust guidelines,False,6,8.09,6.4,17.18,10.78,24.97,32.59,1,1,1,1,1,1
8,2,0.43103686442911354,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",affecting compliance act corporate due diligence obligations prevention human rights violations supply chains lksg abused human rights indigenous population carrying unlawful seizure land restricting access water complied labour law unjustifiably withholding appropriate wages occupational health safety regulations respected improper disposal waste made affecting environment area lives,False,6,28.58,2.35,43.1,3.96,15.15,6.86,1,1,1,1,1,1
9,0,0.9882584050677775,"workers, labour, union, employment, casual, daily, rights, working, bpjs, termination",allegations raised pertaining variety workers rights violations poor working conditions non provisions subsidy non payment social security bpjs poor safety conditions workers health unreasonable working hours amongst others several workers arrested police protesting pertaining rights,False,6,98.83,0.09,0.48,0.13,0.29,0.18,1,1,1,1,1,1
10,2,0.8240823366914346,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",infringed private property firebreak destroyed part forest plot land situation affected place complainants cattle located comply conciliation agreement signed parties,False,6,1.87,0.71,82.41,1.33,10.73,2.96,1,1,1,1,1,1
11,2,0.8215937351598608,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",allegations revolve around land issues evicted agricultural land elements intimidation local authorities process resolving disagreements aforementioned land dispute destroyed irrigation built government,False,6,2.84,0.86,82.16,1.55,9.38,3.21,1,1,1,1,1,1
12,4,0.6652205940189996,"river, sustainable, plantation, rspos, forest, waste, use, member, water, 2013",failure carry corporate social responsibility regard empowerment building sustainable partnership,False,6,1.94,1.18,18.27,2.48,66.52,9.61,1,1,1,1,1,1
13,2,0.4482738817970085,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",allegation pertaining plasma allocation ratio 80 20 based plasma agreement affected parties received 20 share revenue generated plasma land since 2010 till date,False,6,6.4,2.83,44.83,4.83,26.03,15.08,1,1,1,1,1,1
14,2,0.45680270996654593,"land, communities, local, hcv, complainants, rights, customary, allegations, complaint, plasma",yet fulfill commitment allocate plasma land,False,6,6.2,2.78,45.68,4.75,25.9,14.69,1,1,1,1,1,1
