pk,source,internal_id,status,submitted_on,accepted_on,last_updated_on,country,region,complainants,respondents,respondent_sector,respondent_parent_company,respondent_supplier,summary,history,external_link,extras
1,Roundtable on Sustainable Palm Oil (RSPO),500Mg00000L0di6IAB,Closed,2/26/2025,4/15/2025,5/20/2025,Indonesia,Sumatera Selatan,Confidential,PT Sawit Mas Sejahtera,Oil Palm Growers,Golden Agri-Resources (GAR),,That the Respondent allegedly transferred the Complainant to a different department purportedly as punishment for providing information to the auditors during the Respondents audit period.The Complainant alleges that he is made to work extra hours and his wages do not commensurate with his work load.,2025-05-20: CP's Decision Letter dated 20. 05. 2025 has been furnished to both parties in this Complaint. This Complaint is now officially closed. 2025-04-30: The Secretariat received the requested clarification and confirmation from both parties in this Complaint. The same was furnished to the Complaints Panel. The Complaints Panel has deliberated and has made a decision on this Complaint. The Complaints Panel has directed the Secretariat to draft the Decision Letter for the perusal of the Complaints Panel. 2025-04-25: The Complainant and Respondent have been informed of the formal acceptance of this Complaint. Letter dated 14. 04. 2025 has been furnished to the Respondent for confirmation of the contents. Pending response from the Respondent. 2025-04-15: This Complaint has been formally accepted on 15. 04. 2024.The Complainant furnished a letter dated 14. 04. 2025 to the Secretariat on 15. 04. 2025 via email. The same will be furnished to the Complaints Panel for the Complaints Panels perusal and further directives.,https://rspo.my.site.com/Complaint/s/case/500Mg00000L0di6IAB/detail,{'case_number': 'RSPO/2025/02/RR'}
2,Roundtable on Sustainable Palm Oil (RSPO),500GB00003xVwYqYAK,In Progress - Investigation,11/29/2024,1/16/2025,1/16/2025,Mexico,,Confidential,INDUSTRIAS OLEOPALMA S.A. DE C.V.,Oil Palm Growers,Oleoquímica Mexicana S.A. de C.V.,,"The Complainant alleges that the Respondent has unjustifiably dismissed workers, deceiving them into resigning with the promise that they will be rehired;It is alleged that the Respondent did not pay the dismissed workers the full amount of compensation for early termination of contract, breaching Mexican federal labour law;The Respondent bribed the authorities to obtain the parcel certificate from the National Agrarian Registry (RAN) required by Mexican Law;It is alleged that the Respondent has falsified information regarding land ownership in order to use it as evidence to avoid the imposition of non-conformities during audits; andThe Complainant alleges that crude oil palm is stored in tanks that do not receive any maintenance. Therefore, the Mexican legislation regulating this matter is not being complied with.",2025-04-30: The Secretariat furnished the Respondents redacted response to the Complainant for comments. Pending a response from the Complainant. 2025-03-26: The Secretariat has received a formal response from the Respondent and is reviewing the same. 2025-02-26: Meeting held with the Complainant on 13. 02. 2025. Pending a response from the Complainant with respect to further clarification sought. 2025-01-22: The Complaint was formally accepted.Formal notification was given to the Complainant.Pending receipt of a formal response from the Complainant on the status of confidentiality applicable to the submission of the Complaint and the decision to explore alternatives dispute resolution methods under the Complaints and Appeal Procedures. 2025-01-16: Complaint is formally accepted and both Parties to the Complaint have been informed.,https://rspo.my.site.com/Complaint/s/case/500GB00003xVwYqYAK/detail,{'case_number': 'RSPO/2024/17/MAM'}
3,Roundtable on Sustainable Palm Oil (RSPO),500GB00003xVxmPYAS,In Progress - Investigation,11/28/2024,1/21/2025,1/21/2025,Colombia,Montes de María,Confidential,OLEOFLORES S A S,Processors and/or Traders,Musim Mas Holdings Pte.,,"1.The Complainant alleges that the Respondent owns and operates oil palm plantations on conflicted and contested rural lands in Montes de Maria. 2.The Complainant alleges that the Respondent has diminished legal, customary and user rights in the region of Montes de Mara, without the FPIC of local communities. 3.The Complainant alleges that the Respondent failed to fulfil its commitments to ensure transparency in providing the necessary information to interested parties. 4.The Complainant alleges that the Respondent failed to fulfil its commitments to use peaceful dispute resolution mechanisms, not to instigate violence, to protect Human Rights Defenders and to prevent reprisals against them. 5.The Complainant alleges that the Respondent conducted non-compliant land clearing, which resulted in the damage of High Conservation Value (HCV) areas and freshwater ecosystems in the region.","2025-04-30: The Complaints Panels directive to conduct an independent investigation has been communicated to both Parties.The Secretariat is currently in the process of preparing the draft Terms of Reference (ToR) for the independent investigation. 2025-03-26: Following the Respondent's submission of its formal response to the allegations, both Parties were given another opportunity to respond on the matter of the Complaint. The Complainant and the Respondent provided their responses on 6 March 2025 and 14 March 2025, respectively. Each response was furnished to the other party for their perusal. The Complaints Panel directed for an independent investigation to be conducted by an independent investigator and for the Secretariat to proceed with the preparation of the Terms of Reference for the said investigation. 2025-02-26: The Respondent furnished the formal response to the allegations on 25 February 2025 and the same was furnished to the Complainant for their perusal. Pending a response from the Complainant. 2025-01-21: The Complaint was formally accepted and the same was communicated to both Parties to the Complaint on 21 January 2025.",https://rspo.my.site.com/Complaint/s/case/500GB00003xVxmPYAS/detail,{'case_number': 'RSPO/2024/18/HN'}
4,Roundtable on Sustainable Palm Oil (RSPO),500GB00003xVGg2YAG,In Progress - Investigation,10/16/2024,11/18/2024,11/18/2024,Indonesia,Riau,S. Samsul Hadi,PT Guntung Idamannusa,Oil Palm Growers,Compañía Industrial Aceitera Coto Cincuenta y Cuatro S.A.,,"The Respondent's Corporate Social Responsibility (CSR) program is not concrete and sustainable for the surrounding community;The Respondent has conducted replanting/cutting down of oil palm trees on a plantation, resulting in the emergence of insect pests damaging the community's coconut plantation;The Respondent only provided pesticides twice and did not take responsibility for the community's coconut plantation damage; andThe community's pesticide proposal through the Village Head was not urgently responded to by the Respondent, which caused the surrounding community to suffer great losses.","2025-04-30: The Complaints Panel has directed the Secretariat to refer this Complaint to the relevant Certification Body for a special audit to be conducted, to which the Secretariat has obliged and carried out. As of the Complaints Panels meeting on 30 April 2025, the Certification Body has not furnished an official response to the Secretariat with respect to this Complaint. The Secretariat to follow up with the Certification Body. 2025-03-26: The Bilateral Engagement period has expired. The matter has been referred back to the CP and the CP has directed the Secretariat to request a special audit. 2025-03-20: The Bilateral Engagement period expired on 19 March 2025. The hearing of this Complaint by the Complaints Panel has been resumed. 2025-02-26: Bilateral Engagement in progress. 2025-01-22: Bilateral Engagement in progress. 2024-12-20: Based on the parties' indication to pursue Bilateral Engagement (""BE""), the Complaints Panel adjourned the hearing of this Complaint on 19 December 2024 to enable the parties to commence the BE process. This BE process will last for a period of 60 working days, starting from 20 December 2024 as notified to the parties by the Secretariat. 2024-11-27: Complaint formally accepted and parties informed. The Complainant has provided confirmation for the Secretariat to send a redacted version of the Complaints Form to the Respondent to obtain the Respondents formal response. Redactions were made due to privacy concerns as confirmed by the Complainant. The Complainant conveyed the decision to engage in DSF mediation. The Respondent will be informed accordingly. 2024-11-18: Complaint is formally accepted and both Parties to the Complaint have been informed.",https://rspo.my.site.com/Complaint/s/case/500GB00003xVGg2YAG/detail,{'case_number': 'RSPO/2024/14/RH'}
5,Roundtable on Sustainable Palm Oil (RSPO),500GB00003vMwFgYAK,In Progress - Investigation,9/11/2024,10/29/2024,10/29/2024,Costa Rica,Pococi/Limón,Confidential,Compañía Palma Tica S.A.,Oil Palm Growers,,,"The Complainant alleges that the Respondent breached the obligations to the RSPO by ignoring the High Conservation Values (HCVs) that were identified during the New Planting Procedure (NPP) in 2013, when clearing land in a protected area to plant oil palm crops. It is alleged that this situation affected forest conservation, as an area that should have been protected according to Costa Rican law was deforested;The Complainant alleges that the area where the alleged deforestation took place has now been abandoned but the damage has not been remedied by the Respondent;andThe Complainant alleges that the said act of deforestation not only violates the RSPO sustainability principles, but also has a significant negative impact on local biodiversity and the communities that depend on this ecosystem.","2025-04-30: The Briefing Note is in progress. 2025-03-26: The Briefing Note is in progress. 2025-02-26: Pending a response from the Respondent on further clarification sought from the Secretariat. 2025-01-22: Formal response received from Respondent. The formal response by the Respondent was furnished to the Complainant for perusal and comments.On 20. 12. 2024, the Secretariat received comments from the Complainant, and the response by the Complainant was furnished to the Respondent for comments. The Respondent provided its further comments on 13. 01. 2025 which has been furnished to the Complainant. 2024-11-27: Pending receipt of formal response from the Respondent on or before 4. 12. 2024. 2024-10-29: The Complaint was formally accepted and the same was communicated to both Parties to the Complaint on 29 October 2024.",https://rspo.my.site.com/Complaint/s/case/500GB00003vMwFgYAK/detail,{'case_number': 'RSPO/2024/13/MAM'}
6,Roundtable on Sustainable Palm Oil (RSPO),500GB00003vN6MYYA0,Closed,9/4/2024,10/23/2024,4/10/2025,Indonesia,West Kalimantan,Undisclosed,PT Harapan Sawit Lestari,Processors and/or Traders,Cargill Incorporated,,"1. The Complainant alleges that he informed the Respondent, prior to his termination, of his expectation that all wages to which he was entitled would be included in the final payment compensation calculation, to which the Respondent agreed. 2. The Complainant alleges that the final payment compensation (as phrased in a written mutual agreement dated 19 October 2023) paid by the Respondent was not in accordance with the wages paid during his employment.",2025-04-10: The Appeal's submission period has expired. This Complaint is formally closed. 2025-03-26: Pending expiry of the Appeals period. 2025-02-26: Pending expiry of the Appeals Period. 2025-01-22: Decision delivered.Pending expiry of the appeals period. 2025-01-07: The Complaints Panel has deliberated and reached a decision. The decision letter has been furnished to both Parties to the Complaint. Pending expiry of the appeals period. 2024-11-27: Formal response received from Respondent.The Complainant has also provided comments to the Respondent's formal response. The Secretariat is to proceed with the preparation of the Briefing Note. 2024-10-28: The Complaint was formally accepted and the same was communicated to both Parties to the Complaint on 28 October 2024.,https://rspo.my.site.com/Complaint/s/case/500GB00003vN6MYYA0/detail,{'case_number': 'RSPO/2024/12/HN'}
7,Roundtable on Sustainable Palm Oil (RSPO),500GB00003rSPdNYAW,Unknown,7/10/2024,8/28/2024,8/28/2024,Indonesia,Kalimantan Barat,Confidential,PT Mitra Karya Sentosa,Oil Palm Growers,First Resources Limited,,"The Respondent has allegedly conducted land clearing, planting, and the construction of a concession boundary road beyond the boundaries set out under its Plantation Business License (Izin Usaha Perkebunan, or IUP) and/or Right-to-Cultivate land title (Hak Guna Usaha, or HGU).","2025-04-30: Pending expiry of Appeals period. 2025-03-26: Pending expiry of Appeals period on 04. 06. 2025. 2025-03-05: The CP's decision letter was furnished to both Parties on 04. 03. 2025. Pending expiry of the appeals period. 2025-02-26: The CP has completed deliberations on the Briefing Note prepared by the Secretariat. The Decision Letter will be prepared based on the CPs directives. 2025-01-22: The Secretariat has prepared the Briefing Note of this Complaint and submitted the same to the Complaints Panel for their deliberations. 2024-11-27: The investigation stage of the Complaint is ongoing and submitted documents and information under review. 2024-10-23: The Complainant opted to amicably resolve this Complaint through DSF mediation, whereas the Respondent chose Bilateral Engagement. Since the parties could not reach a consensus on choosing either DSF mediation or Bilateral Engagement, the Complainant requested that the CP investigate this Complaint. The Respondent furnished the Secretariat with their formal response to the allegations on 15. 10. 2024. 2024-09-25: Complaint is formally accepted and both Parties to the Complaint have been informed.",https://rspo.my.site.com/Complaint/s/case/500GB00003rSPdNYAW/detail,{'case_number': 'RSPO/2024/10/RH'}
8,Roundtable on Sustainable Palm Oil (RSPO),500GB00003rQXs6YAG,In Progress - Investigation,5/27/2024,7/15/2024,7/15/2024,Peru,Ucayali,Confidential,Palmas del Espino S.A.,Oil Palm Growers,,,"The Complainant alleges that the Respondent has acquired FFB using restrictive competition practices, which affects smallholders. The Respondent has omitted the RSPO antitrust guidelines.",2025-04-30: Pending a response from the Certification Body for an update on the special audit. 2025-03-26: Pending receipt of an update on the special audit request. 2025-02-26: Directives for a Special Audit communicated to the Certification Unit. 2025-01-22: The Secretariat has requested from the Respondent the SOP on the traceability process and its execution as further evidence of traceability. Pending a response from the Respondent. Directives for a special audit communicated to the Certification Unit. 2024-11-27: Pending receipt of further updates from the Certification Body on the recent audit. 2024-10-23: Pending receipt of response from the Respondent. 2024-09-25: The Complainant responded with new facts and allegations that were not included in the Complaints Form. The Secretariat has requested clarification from the Complainant. Pending receipt of a response from the Complainant. 2024-08-28: Formal acceptance of Complaint notified to parties. Formal response received from Respondent. 2024-07-31: The formal acceptance of the Complaint was communicated to the Complainant via email. The Complainant approved the proposed redacted document to be furnished to the Respondent for a formal response. Pending receipt of a response from the Complainant on whether to proceed with either BE or DSF. 2024-07-17: Complaint is formally accepted and both Parties to the Complaint have been informed.,https://rspo.my.site.com/Complaint/s/case/500GB00003rQXs6YAG/detail,{'case_number': 'RSPO/2024/09/MAM'}
9,Roundtable on Sustainable Palm Oil (RSPO),500GB00003rVCvIYAW,In Progress - Investigation,4/23/2024,6/13/2024,6/13/2024,Guatemala,,Confidential,NaturAceites S. A.,Oil Palm Growers,,,The Complainant alleges that the Respondent is affecting the compliance of the Act on corporate due diligence obligations for the prevention of human rights violations in the supply chains-LkSG. The Respondent has abused the human rights of the indigenous population by carrying out an unlawful seizure of land and restricting access to water. The Respondent has not complied with labour law by unjustifiably withholding appropriate wages. Occupational health and safety regulations are not respected by the Respondent. The Complainant alleges that the improper disposal of waste made by the Respondent is affecting the environment of the area where the community lives.,2025-04-30: The Secretariat furnished the draft Terms of Reference (ToR) for the independent investigation to the parties for their perusal and comments. The Complainant has responded with their comments. Pending receipt of comments from the Respondent on the draft ToR. 2025-03-26: Draft ToR for independent investigation submitted to the CP for perusal and comments. 2025-02-26: Draft ToR for independent investigation submitted to the CP for perusal and comments. 2025-01-22: The CP has issued a directive to engage an Independent Investigator. ToR for independent investigation to be drafted. 2024-11-27: Pending receipt of further updates from the Certification Body on the recent audit. 2024-10-23: Pending receipt of report to be issued by the Certification Body. 2024-09-25: The Respondent furnished a fresh response requesting for confidentiality to be applied to some documents based on legal reasons. The Secretariat is in the midst of reviewing the said response. 2024-08-28: The Secretariat is in the midst of reviewing the formal response furnished by the Respondent. 2024-07-31: Pending receipt of a formal response from the Respondent. 2024-06-26: The formal acceptance of the Complaint was communicated to the Parties on 13. 06. 2024. The Secretariat is in the midst of reviewing the redacted version of the Complainants submission. 2024-06-14: Complaint is formally accepted and both Parties to the Complaint have been informed.,https://rspo.my.site.com/Complaint/s/case/500GB00003rVCvIYAW/detail,{'case_number': 'RSPO/2024/06/MAM'}
10,Roundtable on Sustainable Palm Oil (RSPO),500GB00003rTfZvYAK,Closed,3/20/2024,5/17/2024,1/23/2025,Indonesia,Kalimantan Barat,Confidential,PT Swadaya Mukti Prakarsa,Oil Palm Growers,First Resources Limited,,"Allegations raised against the Respondent are pertaining to a variety of workers rights violations, such as poor working conditions, non-provisions of subsidy, non-payment of social security (BPJS), poor safety conditions, workers health, unreasonable working hours, amongst others.The Complainant also alleged that several of its workers had been arrested by the police, for protesting against the Respondent company pertaining to their rights.","2025-01-23: CP Decision Letter dated 23. 01. 2025 has been furnished to both parties in this Complaint. This Complaint is now officially closed. 2025-01-13: Draft Decision Letter furnished to CP for endorsement. 2025-01-10: The CP deliberated and reached a decision on this Complaint. The Secretariat is to draft the CP Decision Letter. 2025-01-02: Parties reached an Agreement and the same was furnished to the Secretariat. The Secretariat is in the midst of reviewing the same. 2024-11-27: Bilateral Engagement process ongoing. 2024-10-23: Bilateral Engagement process extended until 30. 12. 2024. 2024-10-09: Mutual request by both parties for extension of Bilateral Engagement process allowed by the Complaints Panel. Bilateral Engagement process extended. Both parties have been informed of the same. 2024-09-25: Bilateral Engagement process ongoing. 2024-08-28: Bilateral Engagement process ongoing. 2024-07-31: Bilateral Engagement process ongoing. 2024-07-08: Both Parties have indicated that they would like to pursue Bilateral Engagement.The same was conveyed to the Complaints Panel. The Bilateral Engagement Rules will apply, i. e. 60 working days from the time parties are notified by the Secretariat. 2024-06-26: Parties responded to the Secretariat on their choice of using the alternative dispute resolution methods ( i. e Bilateral Engagement or DSF Mediation) to resolve the Complaint amicably.Respondent to furnish formal response on/before 28. 06. 2024. 2024-06-07: Pending receipt of formal response from the Respondent.Pending receipt of a response from both parties on the use of Bilateral Engagement / DSF Mediation as alternative dispute resolution methods. 2024-05-29: Pending receipt of the Complainants response on the confidentiality status of the Complainants submitted documents/information. 2024-05-23: Complaint is formally accepted and Parties to the Complaint have been informed.",https://rspo.my.site.com/Complaint/s/case/500GB00003rTfZvYAK/detail,{'case_number': 'RSPO/2024/05/RR'}
