Text,Dominant_Topic
greenpeace final countdown allegations deforestation graha agro nusantara agriprima cipta persada agrinusa persada mulia number mighty earth rapid response reports deforestation allegations involving gama kpn,3
8 december 2022 ran published titled notorious rainforest destroyer caught taking global market supply chains major brands found tainted conflict ran ffb nia yulided bersaudara carrying deforestation entered bumi sama ganda supply chain ud makmur jaya,3
infringed private property firebreak destroyed part forest plot land situation affected place complainants cattle located comply conciliation agreement signed parties,0
allegation expansion land approximately 150 ha destruction local farm owned kelompok tani penghijauan tingang menteng deny compensation,0
ran oppuk ilrf published human cost conflict alleging indofood pp lonsum involved labour exploitation issues deadly trade greenpeace ioi continued buy third party suppliers linked environmental destruction exploitation austindo nusantara jaya eagle high plantation rajawali goodhope carson cumberbatch korindo indofood tabung haji plantations ran published sustainability assessment salim related borneo peat forests alleging drm skl carried peat clearance ketungau forest greenpeace final countdown 9 18,2
pay full land compensation six 6 individuals b unilaterally marked cost plasma development refer relevant regulations deciding cost plasma development c pay land compensation land identified hcv hcs area andd provide complete map along coordinates land handed six 6 individuals,0
30 aug mighty earth rapid response 30 thatbetween february 11 may 20 total 101 hectares forest cleared pkpp plantation sdn bhd concession october 26 2027 october total 78 hectares forest cleared ypj plantations sdn bhd ladang ssi sg ara concession rapid response 31 published november mighty earth continued deforestations indications involving pknp,1
shadow clearing lands,1
invasion forcible entry ovre eku land presco plc,0
allegation claims pn vi bought illegal ffb communities informed communities planted plantations concession area sold ffb members pn vi provided evidence allegations,0
failed carry hcv assessment prior land clearing planting compliance rspos new planting procedure npp non compliance rspos new planting procedure npp violation ofp c 7 3 new plantings since november 2005 replaced primary forest area required maintain enhance one high conservation values violation p c 5 2 status rare threatened endangered species high conservation value habitats exist plantation could affected plantation mill management shall identified operations managed best ensure maintained enhanced remarks successfully got parties complaint engaged dialogue parties agreed solution 8 december 2011,2
allegations forest clearance impact biodiversity leuser ecosystem,1
involvement labour right issues sarana prima multi niaga spmn subsidiary tsh,4
cleared planted land customary land new cess grand bassa county liberia seeking expand plantation free prior informed consent communities objecting carrying survey existing concession area,0
allegations 1 workforce bring wives children helpers gerdang help workers reach target harvester 2 impositions penalties workers matter queried worker management failed give satisfactory explanations absent machine workers broken impact payroll ii bonus deductions iii discrimination casual workers,4
mar rapid response 25 jan 11 feb 24 total 221 ha forest cleared 397 hectares prepared clearance medcopapua hijau selaras concession mphs case continued appear series rapid response reports,1
mados holdings sdn bhd conducted land clearing prior hcv assessment approved assessor provides following information according gis data published global forest watch 291 ha identified tree cover loss within 6 madoss holdings sdn bhd estates 2016 2017 prior ratification p c 2018 according gis data published global forest watch 230 ha identified tree cover loss within 6 madoss holding sdn bhd estates 2018 ratification p c 2018,1
eof claims gar purchased ffb illegally grown harvested cpo contaminated ffb cpo products contaminated cpo eof issued alleging number sourced ffb tesso nilo national park bukit tigapuluh national park bukit betabuh tiger corridor,5
allegations dispute plasma scheme mechanism cooperative issues claims 15 members communities 14 villagers kinjil village 1 villager sukajaya village,0
fpic process eia sia pollution,2
western pacific oils claimed purchasing mb shortening moi foods moi foods clarified wpo supplier,5
allegations raised complaint follows respond unions requests hearing bipartite meeting matter pertaining freedom association interrogated members f lomenik hereinafter referred union intimidated workers resigning union restricted union conducting activity issuing letter prohibiting union distributing groceries members conjunction may day transferred unions chairman secretary different transfers accordance applicable laws regulations asserted deliberate act obstruct unions activity,4
