Document_Num,Dominant_Topic,Topic_%_Contrib,Topic_Keywords,Text,Is_Outlier,Dom_Topics_Num,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_0_Perc,Topic_1_Perc,Topic_2_Perc,Topic_3_Perc,Topic_4_Perc,Topic_5_Perc
337,3,1.0,"gar, deforestation, ran, linked, chain, jaya, supply, sawit, plantation, leuser",dec 2022 eia published worst deforesters 2022 supplying major international permata sawit mandiri sawit sukses sejati deforesters said gar supply chain thru gar suppliers e bumitama rimba mujur mahkota pasifik agro sikarakara mill link,False,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0
194,5,1.0,"ffb, cpo, park, bukit, national, contaminated, products, eof, tiger, tesso",eof claims gar purchased ffb illegally grown harvested cpo contaminated ffb cpo products contaminated cpo eof issued alleging number sourced ffb tesso nilo national park bukit tigapuluh national park bukit betabuh tiger corridor,False,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0
9,4,1.0,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",allegations raised pertaining variety workers rights violations poor working conditions non provisions subsidy non payment social security bpjs poor safety conditions workers health unreasonable working hours amongst others several workers arrested police protesting pertaining rights,False,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0
205,4,1.0,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",sawit mas sejahtera sms accused complying labour laws regulations,False,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0
212,3,1.0,"gar, deforestation, ran, linked, chain, jaya, supply, sawit, plantation, leuser",mighty earth rapid response 1 4 carried deforestation bintuni agro prima perkasa guntur madu agrotama kahayan agro plantation mustika agung sentosa raw materials least one entering gar supply chain greenpeace final countdown 9 18,False,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0
193,5,0.99,"ffb, cpo, park, bukit, national, contaminated, products, eof, tiger, tesso",eof claimed gar purchased ffb illegally grown harvested cpo contaminated ffb cpo products contaminated cpo,False,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.99
17,4,0.99,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",allegations raised complaint follows respond unions requests hearing bipartite meeting matter pertaining freedom association interrogated members f lomenik hereinafter referred union intimidated workers resigning union restricted union conducting activity issuing letter prohibiting union distributing groceries members conjunction may day transferred unions chairman secretary different transfers accordance applicable laws regulations asserted deliberate act obstruct unions activity,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.99,0.0
92,4,0.99,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",allegations 1 workforce bring wives children helpers gerdang help workers reach target harvester 2 impositions penalties workers matter queried worker management failed give satisfactory explanations absent machine workers broken impact payroll ii bonus deductions iii discrimination casual workers,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.99,0.0
125,0,0.99,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",synopsis according enquiry national hak tanah malaysia conducted suhakam state government given 1260 acres land dusun begahak 1981 time land alienated felda development raised issue felda right develop land return land originally belonged stated cemetery area developed felda felda enclaved 916 acres said land gave back 25th may 1982 planted fruits crops land received evidence sides evidence needs scrutinised investigated,False,1,1,0,0,0,0,0,0.99,0.0,0.01,0.0,0.0,0.0
140,0,0.99,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",synopsis family member employee injured commotion plantation ensuing medical condition injury rendered unable work complaint made enable enlist help securing insuring benefits injuries remarks acknowledged complaint engaged bilateral negotiations amicable solution reached assisted securing necessary insurance benefits,False,1,1,0,0,0,0,0,0.99,0.0,0.0,0.0,0.0,0.0
41,4,0.99,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",unilateral pay cut poor living conditions labourers intimidation workers forced labour lack transparent grievance system,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.99,0.0
1,4,0.99,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",unjustifiably dismissed workers deceiving resigning promise rehired pay dismissed workers full amount compensation early termination contract breaching mexican federal labour law bribed authorities obtain parcel certificate national agrarian registry ran required mexican law falsified information regarding land ownership order use evidence avoid imposition non conformities audits andthe crude stored tanks receive maintenance therefore mexican legislation regulating matter complied,False,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.99,0.0
62,4,0.99,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",50 workers unjustifiably dismissed,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.99,0.0
227,5,0.99,"ffb, cpo, park, bukit, national, contaminated, products, eof, tiger, tesso",eof claimed gar purchased ffb illegally grown harvested cpo contaminated ffb cpo products contaminated cpo eof issued another 8 6 18 alleging number sourcing ffb tesso nilo national park bukit tigapuluh national park bukit betabuh tiger corridor,False,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.99
24,4,0.99,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",violates fundamental labour rights employees bad work conditions unjustified dismissals mistreatment false unfounded suspicions uses retaliation farm workers human rights defenders uses figure blacklist designate employees rehired uses organic fertilizer generates pestilent odour flies affecting communities,False,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.99,0.0
22,4,0.99,"workers, labour, union, rights, employment, casual, daily, working, bpjs, termination",allegations made pertaining rights workers working conditions safety concerns,False,1,0,0,0,0,1,0,0.01,0.0,0.0,0.0,0.99,0.0
220,0,0.99,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",complaint damaged road sumber indah perkasa sip,False,1,1,0,0,0,0,0,0.99,0.0,0.01,0.0,0.0,0.0
242,1,0.99,"earth, ha, mighty, rapid, response, concession, deforestation, indications, forest, clearance",mighty earth rapid response 17 indications deforestation asml concession east kalimantan feb 28 june 28 involving total area 34 ha,False,1,0,1,0,0,0,0,0.0,0.99,0.0,0.01,0.0,0.0
338,3,0.99,"gar, deforestation, ran, linked, chain, jaya, supply, sawit, plantation, leuser",dec 2022 eia published worst deforesters 2022 supplying major international permata sawit mandiri sawit sukses sejati deforesters said gar supply chain thru gar suppliers e bumitama rimba mujur mahkota pasifik agro sikarakara mill link,False,1,0,0,0,1,0,0,0.0,0.01,0.0,0.99,0.0,0.0
