Text,Dominant_Topic
may june 2021 eyes forest eof published titled omnibus law automatic legalization illegal plantations eof investigation riau illegal plantations trade illegal fruit eof listed findings eof investigations involving 43 plantation management units located forest estates based ministerial decree number 903 menlhk setjen pla 2 12 2016 07 december 2016 forest estate riau province identified nine gar supplier namely tri bakti sarimas bukit payung mill gandaerah hendana inecda plantation peputra supra jaya ptpn v sekar bumi alam lestari surya agrolika reksa tasma puja indragiri hulu mill kampar mill tunggal perkasa plantation since publication conducted investigations engaged grievance handling case supplier lodged gar grievance tracker updated regularly order stakeholders follow progress,2
conducted land clearing outside boundaries hak guna usaha hgu land affected individuals land purpose development plantation filed police affected individuals led obtaining status suspects police force result individuals protesting respondents land clearing activities,0
gar internal monitoring detected indications 8 ha deforestation perintis sawit andalan concession 16 31 mar psa owned managed andika permata sawit lestari,3
ran indo alam cleared least 244 hectares critical lowland forests within protected leuser ecosystem since government indonesia announced moratorium prohibiting clearing forests ran stated june field investigators uncovered evidence showing indo alam continued sell fruit nearby mills mdash time mill called teupin lada published supplier lists show gar issourcing teupin lada,2
new planting announcement wilmar affect communities sabung beringin sambas district west kalimantan 1 lands identified securing hcv 5 thus threatening food security communities 2 communities sufficiently informed options 3 land negotiations dealt urban land claimants exclusion work claim land synopsis new planting announcement wilmar affect communities sabung beringin sambas district west kalimantan 1 lands identified securing hcv 5 thus threatening food security communities 2 communities sufficiently informed options 3 land negotiations dealt urban land claimants exclusion work claim land remarks fpp hasassured meeting complainants bilateral discussions upon response submitted 17 august 2012,0
indications deforestation detected jaya jadi utama sawit lamandau raya concessions q4 managed cbip jju slr gar direct suppliers gar sources another cbip subsidiary e berkala maju bersama,3
labour rights violation malaysian grower felda global ventures fgv plantations,4
complaint damaged road sumber indah perkasa sip,0
9 june ran number allegations kallista alam including,4
mighty earth rapid response 22 indications 136 ha deforestation june 23 nov 21 inside agro sarimas indonesia concession,1
mighty earth rapid response 22 indications 39 ha deforestation inside rim capital concession sep 11 nov 2,1
operating protected forest area license ministry forestry operating hgu,2
sawit mas sejahtera sms accused complying labour laws regulations,4
eof issued alleging number sourced ffb tesso nilo national park bukit tigapuluh national park bukit betabuh tiger corridor,5
allegations 1 workforce bring wives children helpers gerdang help workers reach target harvester 2 impositions penalties workers matter queried worker management failed give satisfactory explanations absent machine workers broken impact payroll ii bonus deductions iii discrimination casual workers,4
