Document_Num,Dominant_Topic,Topic_%_Contrib,Topic_Keywords,Text,Is_Outlier,Dom_Topics_Num,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_0_Perc,Topic_1_Perc,Topic_2_Perc,Topic_3_Perc,Topic_4_Perc,Topic_5_Perc
211,0,0.74,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",allegations land grab sinar mas,False,1,1,0,0,0,0,0,0.74,0.02,0.07,0.03,0.12,0.03
131,0,0.84,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",cleared planted land customary land new cess grand bassa county liberia seeking expand plantation free prior informed consent communities objecting carrying survey existing concession area,False,1,1,0,0,0,0,0,0.84,0.01,0.09,0.02,0.02,0.02
161,0,0.5,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",synopsis sime darby received complaint operating violation principles criteria violation rspo’s new plantings procedure including acquiring lands respecting customary rights free prior informed consent customary land owners represented representative organisations choice p c 2 2 2 3 7 5 7 6 peoples’ land taken 7 5 7 6 clearing lands prior completion new plantings procedure npp,False,2,1,0,1,0,0,0,0.5,0.02,0.34,0.04,0.03,0.07
118,0,0.81,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",1 land acquired planted agropama obtained fraudulent means 2 last july iterpa local autarchy jurisdiction state par officially informed almost landoccupiedby agropalma fact owed sate par land title registered name information directed court acar small city state par complainants agropalma dispute land rights iterpa informed agropalma settled complainants land state federal land 3 agropalma legally owna single hectare claim certification granted,False,1,1,0,0,0,0,0,0.81,0.02,0.08,0.03,0.05,0.02
117,0,0.47,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",small holders affairs small holders affairs department nbpol acts mediator watchdog us small holder growers nbpol acknowledge department working personals within department assisted us throughout years one disgusting thing major dispute small holder department dont hear grievances small holder growers act mediator bring issue right management discuss issue round table come compromise beneficiary us industry instead department acts police suspend blocks allegation dispute even disputes grievances applied grievance forms squeezed thrown trash cans time department act dictator deprive privileges rights small holder grower speak unfair issues practicing implement agendas ideas interest undermine wellbeing freedom expression speech smallholder growers buffer zone exploitation nbpol exploiting 20 metre buffer zone limit photos shown kumbango plantation beside dagi river bank clearing new replant mighty dagi river caused enormous flooding great land mass devastation erosion due mass deforestations buffer zone exploitations river gone tinny kids everybody crossed river swimming today ankle deep walk across usually live side river river livelihood waste disposal river kumbango plantation workers dumping waste metal junks workshop junks dagi river bank photos shown workshop waste thrown beside roadside 20 metres away dagi river bank bio gas electricity power plant set two 2 bio gas electricity power plants one mosa mill one kumbango mill plants generate enormous supply electricity enough feed whole province surplus plants act step electricity supply electricity commission png rakes pgk millions monthly basis small holder growers left income revenue plant run waste ffb supply dont share us income revenue least must feed electricity supply respective homes well part beneficiaries development photos plants shown exessive deductions placing excessive deductions small ffb income revenue run operation toils watered receive lousy pgk 170 per pay day even though price high world market us dollars lousy pgk 170 equivalent lousy usd50 pricing formulai kindly ask board panel help small holder growers liaise review pricing formula using pay growers review contract agreement contract agreement smallholder growers set place harrisons crossfield australian government early stages development project 1967 policies agreements set place beneficiary gain manipulating colonial mindset benefits ruling masters agreement placed smallholder growers awkward position power say treated slaves government industry even though positive economic input constant economic development country world whole supplying steady tonnage ffb weekly basis sincerely urge board assist us reviewing contract agreement roundtable hoskins growers association opga agreement must satisfactory parties protocols humanitarian wellbeing general humanitarian welfare sustainabilitythis forty eight 48 year hoskins project since 1967 project trained us good growers adhering protocols principles industry prolonged time early days board set place yet taught general practice principles dpi maintain cleanliness blocks homes drinking water custody land title form pay rental fees maintaining boundary pegs maintaining 100 metres buffer zone apply fertilizers like ammonium phosphate ammonium nitrite process harvesting upkeeping selective weeding use chemicals tools policies trespassing unnecessarily blocks given consent owner maintaining friendly peaceful environment things thought return receive higher income enhance stabilize living standards modernize standard hard labor work vain price ffb still lowest rates since started 1967 even went zero rates years back cost living high accumulating prices goods services government gst taxes every goods services high school fees demand accumulating extended families living single block ffb price pay receiving cannot sustain accumulating necessities life tell truth right surviving subsistence gardening little bits reserve land otherwise weve dead preach talk commodity dealing working must sustainable enough meet standards demands every parties involved primary producer commodity must sustained end user must sustained satisfied even cannot savings start spinoff businesses throughout years toil nothing us search optional means ways sustainable income start profitable businesses live run homes proper water sanitation electricity proper health care life insurance cover proper working machineries even cant employ laborers help us manage work load due financial incapabilities heavy jobs done manually using strength pioneering fathers died young sorts body conditions like back problems knee problems eye problems heart kidney failures many undiagnosed ailments high body strain levels stabilize diets even many growers killed falling ffbs branches process harvesting others killed falling stumps poisoned unknowingly working compensation looses lives talk lets come together round table discuss underlying issues beneficiary sustainability us concept,False,2,1,0,1,0,0,0,0.47,0.03,0.35,0.07,0.04,0.05
111,0,0.81,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",complainants agroup small holders independent farmers costa rica allege member palma tica sa breached criterion 1 1 commitment transparency say despite sending lettersent december15 2015 palmatica asking share results audit failed ii allege palma tica sa breached criterion 6 10 growers mills deal fairly transparently smallholder local businesses complaints results form allegations change purchase mechanism ffb last 17 years payment mechanism outdated transparent stated removal discretionary bonus replacement bono solidario bono done transparently address situation purchase price ffb,False,1,1,0,0,0,0,0,0.81,0.01,0.11,0.02,0.02,0.03
76,0,0.83,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",allegation expansion land approximately 150 ha destruction local farm owned kelompok tani penghijauan tingang menteng deny compensation,False,1,1,0,0,0,0,0,0.83,0.01,0.05,0.02,0.07,0.02
197,0,0.55,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",various reports hcv clearances violations ioi subsidiaries ketapang indonesia greenpeace final countdown 9 18,False,1,1,0,0,0,0,0,0.55,0.02,0.2,0.05,0.06,0.12
26,0,0.83,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",allegations formally accepted complaint follows 1 control influence activities ibzi holdings sdn bhd subsidiaries ibzi plantation sdn bhd aa sawit sdn bhd disclosed 2 disclosed total landbank controlled 3 mados holdings sdn bhd conducted land clearing prior hcv assessment approved assessor 4 potential racp liabilities currently extend non compliant land clearing hcvs hcs conducted related entities land clearing within related entities concessions conducted prior hcv assessment approved assessor and5 stated primary beneficial owner madoss holdings sdn bhd sultan state malaysia using third party proxy nadi mesra sdn bhd develop plantations hcv assessments conducted prior land clearing,False,1,1,0,0,0,0,0,0.83,0.01,0.09,0.02,0.02,0.03
2,0,0.8,"land, communities, hcv, complainants, local, complaint, customary, allegations, process, clearing",1 owns operates plantations conflicted contested rural lands montes de maria 2 diminished legal customary user rights region montes de mara fpic local communities 3 failed fulfil commitments ensure transparency providing necessary information interested parties 4 failed fulfil commitments use peaceful dispute resolution mechanisms instigate violence protect human rights defenders prevent reprisals 5 conducted non compliant land clearing resulted damage high conservation value hcv areas freshwater ecosystems region,False,1,1,0,0,0,0,0,0.8,0.01,0.11,0.03,0.02,0.02
