pk,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,summary
431,1,1,1,1,0,0,"In July 2020, Cargill received a grievance against Aceydesa alleging deforestation, unjustified increase of RSPO certified volume, land conflict, non-complianc"
432,1,0,1,1,1,0,A grievance was filed against Agropalma regarding human rights issues involving Quilombola communities near the Acará River in Brazil. The case involves l
433,1,1,0,0,0,0,"This grievance was filed by Friends of the Earth and WALHI against Astra Agro Lestari (AAL) in Indonesia, alleging land conflicts related to their palm oil oper"
434,0,0,1,1,1,0,A grievance was filed against Brasil Bio Fuels (formerly Biopalma) in June 2019 regarding labor and human rights issues in Brazil. The case began with allega
435,0,1,0,0,0,0,"A grievance was filed by Link-Ar Borneo against Cargill's subsidiary PT Poliplant Sejahtera (PSA) in West Kalimantan, Indonesia. The grievance alleges that"
436,0,1,1,1,0,0,"A grievance was filed against Felda Global Ventures (FGV) on January 22, 2018, by AidEnvironment, alleging deforestation of High Carbon Stock (HCS) fores"
437,1,1,0,0,0,0,"The grievance involves allegations that First Resources has operational and financial ownership connections to three palm-oil companies: FAP Agri, Ciliandra"
438,1,1,1,1,0,0,An RSPO complaint has been filed by FPP against Golden Agri-Resources (GAR) regarding concerns about the legality of operations and a bribery court cas
439,0,1,0,0,1,0,"A grievance was filed against Grupo Hame in Guatemala on December 14, 2015, involving accusations of human rights violations and environmental degrada"
440,0,0,0,0,1,0,CONDEG filed a grievance report accusing Industrias Chiqibul of labor rights violations in Guatemala. Cargill requested clarifications from Chiqibul and follow
441,1,0,0,0,0,0,"The grievance concerns a community land conflict at IOI Pelita in Malaysia, filed through the RSPO Complaints System in July 2018. IOI Group is engaged in"
442,0,1,1,1,0,0,A grievance was filed in February 2023 based on a report from Cash Investigations alleging child labor practices at PT Erasakti Wiraforestama plantations in J
443,1,1,1,0,0,0,"Cargill identified land clearing in an HCV area during a visit to Ladang Rakyat Trengganu's concession in September 2020. In response, Ladang Rakyat Tren"
444,1,1,0,0,0,0,"This grievance was filed by Mighty Earth against Musim Mas in December 2021, alleging environmental non-compliance related to clearing of a High Carbon"
445,1,0,0,0,0,0,"The grievance involves alleged land conflicts against Naturaceites, reported by Christian Initiative Romero, Foodwatch, and European Council for Constitution"
446,0,0,1,0,0,0,"Cargill identified environmental non-compliances in Palmeras Del Llano's mill operations during a 2019 evaluation visit. Due to slow progress, the case was m"
447,0,0,0,0,0,0,"A grievance was filed on June 12, 2020, against Permata Hijau Group for non-compliant sourcing from PT Kallista Alam. The grievance was reported by Rainf"
448,1,1,1,1,0,0,"This grievance involves deforestation allegations against Bewani Oil Palms in PNG, which was allegedly associated with the Prosper Group in Malaysia. Carg"
