BOW_Word,BOW_Frequency,TFIDF_Word,TFIDF_Score
pt,490,respondent,26.06103456106166
report,207,pt,23.23036739312218
palm,189,workers,18.38256660598212
land,178,land,18.12973801320009
oil,177,company,17.912400833472077
respondent,171,report,17.292725097630033
rspo,163,community,17.286268222044534
company,140,complainant,16.661045428204567
forest,128,deforestation,16.627013260760123
plantation,107,alleged,16.565586514962828
alleged,106,ha,16.55911557546382
gar,106,rspo,16.414662274575804
companies,100,earth,16.04433090060505
community,100,forest,15.913938358145943
complainant,98,mighty,15.760883439873199
deforestation,94,2019,15.697632733149515
area,83,rapid,15.588407510069052
also,83,gar,15.394496508885664
workers,81,response,15.324735230971289
without,79,companies,15.26229921637236
response,77,allegedly,15.262091904318003
ha,73,indications,15.151288757115493
group,72,palm,15.14783226199104
earth,71,concession,14.947365568289795
mighty,68,rights,14.869459637876412
allegedly,65,allegations,14.746605676565565
concession,65,period,14.656884424733327
reported,64,oil,14.460105201869627
rapid,63,reported,14.450402179940246
plantations,62,clearance,14.403457553117349
rights,61,labour,14.332428335318388
allegations,56,area,14.069997703003146
mentioned,50,eof,14.01927536162071
2019,50,group,13.574679900442321
period,49,agro,13.485998065791641
jaya,49,mentioned,13.408261005179762
indications,46,plantation,13.090336643953568
local,46,19,12.81827954383619
eof,46,subsidiary,12.797513332596708
supplier,45,ffb,12.775333389339535
mill,45,sawit,12.6795728156379
alleges,45,kalimantan,12.235404536422447
clearing,44,2020,11.783412663129946
communities,42,plasma,11.726400425915681
ffb,42,supplier,11.67912727199135
published,42,leuser,11.54074228683951
cleared,41,greenpeace,11.495665827740732
the,41,local,11.447178493646259
illegal,41,alleges,11.413270139413214
labour,40,total,11.321166034184158
hcv,40,ran,11.242126521054777
complaint,39,case,11.019657854010301
clearance,39,cleared,10.948255787694606
new,39,plantations,10.656932636172412
agro,38,national,10.57648170385306
development,38,illegal,10.559168649207825
conducted,37,2018,10.455096550207745
ran,36,bhd,10.444841199300056
since,36,biodiversity,10.323455077168086
members,36,communities,10.262280118637038
case,35,cpo,10.22601276370666
may,35,chain,10.148718748414892
kalimantan,35,supply,10.10782675026705
subsidiary,34,sdn,10.067847831267732
national,34,june,10.053475904884806
non,34,jaya,10.040097175732232
process,33,non,9.988330744574535
sawit,33,issues,9.945699118027802
june,33,union,9.941227772728027
high,32,violation,9.922251519224721
environmental,32,west,9.88022634663283
lands,32,indonesia,9.773814987930349
indonesia,32,park,9.762090209812424
supply,32,inside,9.724337675504364
2016,32,ecosystem,9.71682271580524
member,31,linked,9.677129785537758
areas,31,compensation,9.64392764255237
2021,31,2021,9.540996720578743
chain,30,development,9.489111503603926
principle,29,clearing,9.366316439610666
forests,29,mas,9.359368115173444
2020,29,bukit,9.188718007568633
prior,29,hectares,9.186584790088489
perkasa,29,lestari,9.059965066671394
complainants,28,village,9.02088243563191
lestari,28,peat,9.016060054004079
total,28,owned,9.006728901250924
law,27,potential,8.999549495197138
river,27,violations,8.956093917943292
planting,27,sep,8.902815324489705
water,27,2016,8.848853553443446
hectares,27,final,8.837956808662964
two,26,products,8.7173409973939
customary,26,complaint,8.705217487583544
identified,26,raya,8.675863212846073
number,25,high,8.628105935656874
management,25,2022,8.579817699286236
issues,25,environmental,8.559970515964046
19,25,countdown,8.543371816848444
failed,25,new,8.530363573743879
plasma,25,hcs,8.524201590046694
based,25,process,8.523473857240013
greenpeace,25,published,8.470379651478309
owned,24,law,8.441258139852266
inside,24,operating,8.434474411220815
bukit,24,forests,8.423494717862871
village,24,members,8.380901899669215
investigation,23,resources,8.303074822179102
one,23,reports,8.265732732216579
riau,23,prima,8.20636422179693
use,23,hcv,8.198723088493498
agreement,23,compliant,8.196018616270546
linked,23,feb,8.19533747492425
ioi,23,perkasa,8.098727732398713
grievance,23,september,8.04644515667195
bhd,23,number,8.033570031876847
found,22,wilmar,8.000450793204832
assessment,22,18,7.998046197359836
investigations,22,public,7.957585441805193
union,22,right,7.911514533838119
made,22,internal,7.847853975402308
consent,22,alam,7.844500950048147
within,21,nov,7.794074219871134
compensation,21,impact,7.778138692179745
informed,21,lands,7.750170631550711
right,21,monitoring,7.74503412418292
2013,21,riau,7.720949057104062
reports,21,conflict,7.715614688264473
fruit,20,mitra,7.714401210294635
west,20,suppliers,7.700330496231779
social,20,river,7.60400723828551
violations,20,member,7.584639630030124
planted,20,22,7.547923427314638
including,20,planting,7.540593521286055
december,20,employment,7.480833733894603
hgu,20,15,7.4803118082280164
bumi,20,alleging,7.474355225006163
npp,20,aug,7.4722543296494015
involving,20,17,7.377214526811526
titled,20,released,7.311652990984443
according,19,indication,7.246292303843559
products,19,daily,7.221961091645432
peat,19,complainants,7.139706038405667
2018,19,papua,7.1356305568587155
2022,19,grievance,7.129018616489336
violation,19,indah,7.069756955756615
provided,19,agreement,7.057527950789785
conservation,19,20,7.034741883379954
received,19,human,7.0274268967310585
information,19,involvement,7.0009141228851455
12,19,paid,6.98808407228971
employment,19,media,6.971793345802469
criteria,19,bumi,6.932652823798614
sustainable,18,conditions,6.925530968139607
prima,18,november,6.916204577782888
following,18,planted,6.8825105906780495
government,18,prior,6.880115823480094
located,18,protected,6.871044987578897
complaints,18,dispute,6.870758738341975
conflict,18,hgu,6.866280957661004
monitoring,18,detected,6.832348000149243
despite,18,23,6.806223621771834
certification,18,water,6.802490906098685
sdn,18,pollution,6.737721776660427
operations,18,24,6.696212810431561
alam,18,july,6.694367186693543
daily,18,including,6.689100935215387
protected,17,enter,6.6496300199011
final,17,claims,6.6412176560378535
18,17,consent,6.635635138016029
standards,17,casual,6.632933601655052
said,17,april,6.6268556601017545
dispute,17,indofood,6.618314312649157
resources,17,makmur,6.616163631249651
fire,17,jan,6.610356668863491
human,17,orangutan,6.604761323794955
operating,17,failed,6.596478288947804
casual,17,letter,6.571587927280357
working,17,desa,6.557582656223891
leuser,17,working,6.554866065241355
letter,17,conducted,6.5532650606843745
stated,17,concessions,6.536002670634378
april,16,studies,6.489043917122375
parties,16,received,6.482463809756128
rspos,16,bumitama,6.450076291110534
hcs,16,singkil,6.429073935979664
decree,16,12,6.41967838395769
trade,16,lack,6.4194459977772755
september,16,persada,6.412143371243169
july,16,ioi,6.399522103276532
compliance,16,central,6.373791253538734
action,16,involving,6.366645567207239
raya,16,investigation,6.347883651422776
waste,16,social,6.344478574347775
estate,15,respondents,6.343592592861695
suppliers,15,14,6.331004236024509
submitted,15,contaminated,6.3224746194811585
work,15,regarding,6.321678993603117
activities,15,payment,6.277959143905278
mitra,15,investigations,6.273192866415232
mills,15,global,6.2437521030113246
indigenous,15,principle,6.2069179059005934
affected,15,said,6.200686249516918
cpo,15,sejahtera,6.185840269193064
principles,15,customary,6.145960849133982
procedure,15,allegation,6.138859149704376
fpic,15,operated,6.13034908290911
due,15,34,6.117564441604558
findings,15,nusantara,6.1078720160720845
22,15,peatlands,6.1066693383854735
papua,15,assessment,6.104247582231515
park,15,identified,6.089211577281144
growers,15,ptpn,6.050137544382384
bumitama,15,titled,6.04181294135935
ecosystem,15,fpic,6.033065319609455
related,15,gvl,6.031703117255802
alleging,14,areas,6.030698885873515
pay,14,claimed,6.030216235709079
using,14,certification,6.016300617270735
destruction,14,laws,5.998577673666331
compliant,14,provided,5.976444965585678
engaged,14,issued,5.975747799796148
claims,14,action,5.963946060411992
internal,14,safety,5.9086212844055
claimed,14,police,5.9062546666215745
conduct,14,affected,5.90460835449277
free,14,limited,5.900240769394938
primary,14,related,5.883584249780675
panel,14,managed,5.8599047926371775
persada,14,burning,5.8583400174892715
estates,14,npp,5.7847799788281975
